metric,label,unit,p10,p50,p90,mean,minimum,maximum
assembly_start_utilization,Assembly start utilization,ratio,0.7019897171157099,0.9014119420568818,1.0,0.8779828777524548,0.4763518999649781,1.0
complete_system_equivalents,Complete system equivalents,system,4240.178076809408,5151.11359243574,6052.32517892935,5153.4672277010795,2766.7237615241793,7403.005896949095
finished_accelerator_packages,Finished accelerator packages,package,305292.8215302774,370880.1786553733,435767.41288291325,371049.6403944777,199204.1108297409,533016.4245803348
hbm_gb_per_accelerator,HBM per accelerator,GB/accelerator,192.0,192.0,192.0,192.0,192.0,192.0
hbm_good_stacks,Good HBM stacks,stack,5626889.45606913,6643044.839594371,7710042.552258265,6660296.026965592,4320896.522766945,9351665.474251522
hbm_gross_dies,Gross HBM memory dies,die,56442274.6429031,65981822.35596353,75780793.79677136,66084647.06083094,46190931.43528114,90109337.57467657
hbm_gross_dies_per_wafer,Gross HBM dies per wafer,die/wafer,520.6318621617474,550.1962754030121,582.0227091234982,550.8272503780263,497.40753311033524,612.3167264327052
hbm_known_good_dies,Known-good HBM dies,die,49981676.50671053,58705683.12106085,67779862.29725835,58811675.85746329,40154934.18873659,82234100.98775303
hbm_memory_dies_per_accelerator,HBM dies per accelerator,die/accelerator,64.0,64.0,64.0,64.0,64.0,64.0
hbm_package_equivalents,HBM package equivalents,package,703361.1820086413,830380.6049492963,963755.3190322832,832537.003370699,540112.0653458681,1168958.1842814402
hbm_raw_stacks,Raw HBM stacks,stack,6247709.563338816,7338210.390132606,8472482.787157293,7351459.482182912,5019366.7735920735,10279262.62346913
hbm_stack_utilization,Good HBM stack utilization,ratio,0.3727687835109202,0.4734680551625539,0.5915924775998982,0.4789393886606748,0.23624762466276902,0.8659614995424412
logic_binned_dies,Binned logic dies,die,647778.4916069547,810329.5418937604,997420.0053350161,816764.34978317,431207.8565586272,1298756.6835916245
logic_binned_yield,Logic binned yield,ratio,0.3392905848611052,0.39534667115005784,0.4540267434643544,0.39609891228952454,0.2688735783302386,0.5459428721108209
logic_defect_yield,Logic defect yield,ratio,0.46313985115724027,0.5388794248747407,0.6165339410849742,0.5393759462011872,0.40760736158584193,0.6895688075602614
logic_die_utilization,Binned logic die utilization,ratio,0.8732166564426294,1.0,1.0,0.9694201472100294,0.5993522233740676,1.0
logic_effective_known_good_yield,Logic known-good yield,ratio,0.45019992637581896,0.5151418573044793,0.5770529846323085,0.5142871024205811,0.40082737969757504,0.6346523449673471
logic_gross_dies,Gross logic dies,die,1734305.4468499569,2061372.756143557,2391256.7529388857,2061369.3961754125,1436042.228708194,2725830.998240511
logic_gross_dies_per_wafer,Gross logic dies per wafer,die/wafer,57.59605382271559,58.928025098697915,60.330812974284086,58.94819753179304,56.21522408362917,61.775833515784655
logic_known_good_dies,Known-good logic dies,die,854915.9854397407,1052933.999952898,1274953.590975597,1060433.1551116859,628466.8616124467,1624929.3378850946
logic_package_equivalents,Logic package equivalents,package,323889.24580347736,405164.7709468802,498710.00266750803,408382.174891585,215603.9282793136,649378.3417958122
package_assembly_start_capacity,Assembly starts,package,395013.4171410437,450061.449714629,505614.19038521766,450185.15554046753,351779.4645759355,549768.1004848155
package_assembly_yield,Package assembly yield,ratio,0.9201306121253856,0.9447488238131867,0.9646243045224234,0.9434075962617265,0.9007958007510689,0.97991966765149
package_attempts,Attempted packages,package,323889.24580347736,395239.0514141674,457261.91996392043,393094.71017299674,215603.9282793136,544880.3724666975
surplus_binned_logic_dies,Surplus binned logic dies,die,0.0,0.0,123512.20849728867,30574.92943717658,0.0,496609.2388274305
surplus_good_hbm_stacks,Surplus good HBM stacks,stack,2373736.6285926504,3497594.094322335,4677743.50899927,3515538.3455816186,630801.3810807057,6829457.957099501
