id,resource_kind,resource_name,stage,unit,capacity_p10,capacity_p50,capacity_p90,consumption_p10,consumption_p50,consumption_p90,utilization_p50,binding_probability
shared-abf-substrates,abf_substrate,Shared ABF substrate output,accelerator_package,substrate,52138.780803502246,59433.14999742675,66846.4594740804,29279.623461643834,33636.26897096573,38340.195801761874,0.5662629567541881,0.0
shared-advanced-packaging,advanced_packaging,Shared advanced-package output,accelerator_package,package,44768.39717823697,51280.35988435541,58236.66097471137,29369.416596607658,33653.036541792375,38234.21486731679,0.657680811289491,5e-05
shared-commissioning,datacenter_commissioning,Shared data-center commissioning,operational,commissioning_slot,291.45286386962385,334.48549278250346,379.0865064947832,291.45286386962385,334.370976561783,374.3254688643131,1.0,0.92705
shared-compute-tray-assembly,server_assembly,Shared compute-tray assembly,server_assembly,tray,9105.619995820676,10390.617431500956,11781.789108324576,7342.3541491519145,8403.996654636801,9454.862114675114,0.8103747824876912,0.061
shared-energized-power,datacenter_power,Shared energized critical IT power,operational,MW,44.731275901114785,50.5391266759331,56.85514822504243,38.46113970945531,44.21433802831104,49.630461910724236,0.8721646685786681,0.0
shared-hbm3e,hbm_capacity,Shared HBM3E output,accelerator_package,TB,7068.401547294716,8099.095041016438,9201.614108056157,7068.401547294716,8099.095041016439,9201.61410805616,1.0,0.9997
shared-installation,rack_integration,Shared customer-site installation,installed,installation_slot,332.52809355254084,382.48032960570436,433.22203391730477,332.21478544477884,371.184266271154,406.9765661283222,0.9999999999999999,0.6198
shared-interposers,silicon_interposer,Shared silicon interposer output,accelerator_package,interposer,44894.3251729649,50960.91024621304,57404.72543386389,29271.101600854465,33649.742111524174,38338.20804329141,0.6611961444235142,0.00025
shared-liquid-cooling,cooling,Shared liquid-cooling integration,rack_integration,rack_cooling_set,408.7401778766822,472.0577005666087,534.5310487180656,394.7404780883919,442.8518481597777,491.7679098663371,0.9899917522149477,0.47245
shared-logistics,logistics,Shared rack logistics,shipped,shipment_slot,374.8324334655055,424.48807334634887,476.6314451362283,361.21995168442385,397.00042673810907,433.9520998341127,0.9684646874862881,0.39735
shared-nvlink-switch-trays,network_switch,Shared NVLink switch-tray output,rack_integration,switch_tray,5071.803685089314,5805.607518093027,6546.91911387543,3552.664302795527,3985.6666334379993,4425.911188797033,0.6864727477754837,0.0006
shared-power-shelves,power_delivery,Shared rack power-shelf output,rack_integration,power_shelf,4354.875281168854,4936.789952926529,5534.791660680057,3157.9238247071353,3542.8147852782217,3934.143278930697,0.7174277745682411,0.00215
shared-qualification,qualification,Shared rack qualification,shipped,qualification_slot,370.61828692590086,426.2549984945631,483.8005166180867,361.21995168442385,397.00042673810907,433.9520998341127,0.9661641821243586,0.39175
