supplier_id,supplier_name,capacity_scope_id,metric,unit,p10,p50,p90,mean,minimum,maximum,criticality_probability
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,customer_allocated_stack_share,ratio,0.435785582724629,0.504361900501858,0.5717584902516735,0.5040848788905401,0.29709161492744135,0.6761198485845404,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,customer_allocated_stacks,stack,918182.8599638444,1142468.5671903095,1403245.943274734,1153756.0715706619,647384.4155776873,1969726.0565182539,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,good_stacks,stack,2552584.6608856386,3042009.271095914,3577337.7733902363,3054353.845401548,1947023.7253706614,4424455.3515488515,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,gross_dies,die,25591537.449608512,30248019.196986794,35136404.62955369,30315152.791072175,20581467.564534977,41485787.06069563,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,gross_dies_per_wafer,die/wafer,521.1085036171847,550.1657536985327,582.0488497776043,550.9438982358312,498.5920596951177,609.3962779780512,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,known_good_dies,die,22672601.382913943,26926080.69863307,31389448.176336143,26975626.852059387,18136135.00257958,38079266.35488577,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,platform_package_equivalents,package,114772.85749548055,142808.5708987887,175405.74290934176,144219.50894633273,80923.05194721092,246215.75706478173,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,platform_qualified_stacks,stack,2123437.3121745544,2553440.9939205013,3024262.0184979686,2564679.1587993265,1583906.1950094628,3923227.2132827058,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,qualified_stacks_allocated_elsewhere,stack,1135243.4188893917,1400523.222693471,1700969.1045543966,1410923.0872286647,792171.3332119805,2380403.431456065,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,raw_stacks,stack,2834075.172864243,3365760.087329134,3923681.022042018,3371953.3565074233,2267016.8753224476,4759908.2943607215,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,stacks_consumed_for_demand,stack,918182.8599638444,1142317.0952081955,1401130.4162985114,1152866.7422079402,647384.4155776873,1969726.0565182539,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,unconsumed_customer_reserved_stacks,stack,0.0,0.0,0.0,889.3293627214957,0.0,325269.9307692733,1.0
sk-hynix,SK hynix,sk-hynix-global-hbm3e-compatible-2026q3,unqualified_good_stacks,stack,335798.8039410076,481083.44668204593,656630.9080571826,489674.6866022213,192185.12050923868,1002585.7395585491,1.0
