owner_type,owner_id,parameter,low,base,high,unit,confidence,last_updated,influence_share,research_priority,methodology,evidence_ids,confirming_evidence,falsifying_evidence
platform,nvidia-blackwell-24gb-8high-reference,accelerator_package_demand,300000.0,400000.0,500000.0,package,0.3,2026-07-19,1.0,0.7,Illustrative quarterly demand for Blackwell accelerator packages served by this HBM pool.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,customer_allocation_share,0.35,0.45,0.55,ratio,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Illustrative share of SK hynix Blackwell-qualified stacks allocated to NVIDIA Blackwell in 2026-Q3.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,known_good_die_yield,0.82,0.9,0.95,ratio,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Illustrative SK hynix known-good HBM memory-die yield after repair and test.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,platform_qualified_share,0.75,0.85,0.92,ratio,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Illustrative share of SK hynix good 24GB 8-high-compatible stacks qualified for Blackwell.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,stack_assembly_yield,0.88,0.94,0.98,ratio,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Illustrative SK hynix HBM3E stack-assembly yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,stack_final_test_yield,0.94,0.975,0.995,ratio,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Illustrative SK hynix HBM3E final stack-test yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,wafer.die_height_mm,10.5,11.0,11.5,mm,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Illustrative sk-hynix HBM3E memory-die height.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,wafer.die_width_mm,9.5,10.0,10.5,mm,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Illustrative sk-hynix HBM3E memory-die width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,wafer.edge_exclusion_mm,2.0,2.5,3.0,mm,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Illustrative sk-hynix HBM wafer edge exclusion.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,wafer.scribe_width_mm,0.05,0.08,0.11,mm,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Illustrative sk-hynix HBM scribe width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,wafer.wafer_diameter_mm,300.0,300.0,300.0,mm,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Unverified reference wafer diameter for sk-hynix; do not infer it from Micron evidence.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,sk-hynix,wafer.wafer_starts,40000.0,55000.0,70000.0,wafer,0.3,2026-07-19,0.504361900501858,0.3530533303513006,Illustrative quarterly sk-hynix HBM3E-compatible wafer starts before platform qualification and customer allocation.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,micron,customer_allocation_share,0.45,0.55,0.65,ratio,0.3,2026-07-19,0.3862337830053889,0.2703636481037722,Illustrative share of Micron Technology Blackwell-qualified stacks allocated to NVIDIA Blackwell in 2026-Q3.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,micron,known_good_die_yield,0.84,0.91,0.96,ratio,0.3,2026-07-19,0.3862337830053889,0.2703636481037722,Illustrative Micron Technology known-good HBM memory-die yield after repair and test.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,micron,platform_qualified_share,0.7,0.8,0.9,ratio,0.3,2026-07-19,0.3862337830053889,0.2703636481037722,Illustrative share of Micron Technology good 24GB 8-high-compatible stacks qualified for Blackwell.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,micron,stack_assembly_yield,0.9,0.95,0.985,ratio,0.3,2026-07-19,0.3862337830053889,0.2703636481037722,Illustrative Micron Technology HBM3E stack-assembly yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,micron,stack_final_test_yield,0.95,0.98,0.997,ratio,0.3,2026-07-19,0.3862337830053889,0.2703636481037722,Illustrative Micron Technology HBM3E final stack-test yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,micron,wafer.die_height_mm,10.5,11.0,11.5,mm,0.3,2026-07-19,0.3862337830053889,0.2703636481037722,Illustrative micron HBM3E memory-die height.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,micron,wafer.die_width_mm,9.5,10.0,10.5,mm,0.3,2026-07-19,0.3862337830053889,0.2703636481037722,Illustrative micron HBM3E memory-die width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,micron,wafer.edge_exclusion_mm,2.0,2.5,3.0,mm,0.3,2026-07-19,0.3862337830053889,0.2703636481037722,Illustrative micron HBM wafer edge exclusion.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,micron,wafer.scribe_width_mm,0.05,0.08,0.11,mm,0.3,2026-07-19,0.3862337830053889,0.2703636481037722,Illustrative micron HBM scribe width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,micron,wafer.wafer_starts,25000.0,35000.0,45000.0,wafer,0.3,2026-07-19,0.3862337830053889,0.2703636481037722,Illustrative quarterly micron HBM3E-compatible wafer starts before platform qualification and customer allocation.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,customer_allocation_share,0.15,0.25,0.4,ratio,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Illustrative share of Samsung Electronics Blackwell-qualified stacks allocated to NVIDIA Blackwell in 2026-Q3.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,known_good_die_yield,0.78,0.87,0.94,ratio,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Illustrative Samsung Electronics known-good HBM memory-die yield after repair and test.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,platform_qualified_share,0.4,0.6,0.8,ratio,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Illustrative share of Samsung Electronics good 24GB 8-high-compatible stacks qualified for Blackwell.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,stack_assembly_yield,0.84,0.91,0.97,ratio,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Illustrative Samsung Electronics HBM3E stack-assembly yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,stack_final_test_yield,0.92,0.965,0.992,ratio,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Illustrative Samsung Electronics HBM3E final stack-test yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,wafer.die_height_mm,10.5,11.0,11.5,mm,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Illustrative samsung HBM3E memory-die height.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,wafer.die_width_mm,9.5,10.0,10.5,mm,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Illustrative samsung HBM3E memory-die width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,wafer.edge_exclusion_mm,2.0,2.5,3.0,mm,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Illustrative samsung HBM wafer edge exclusion.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,wafer.scribe_width_mm,0.05,0.08,0.11,mm,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Illustrative samsung HBM scribe width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,wafer.wafer_diameter_mm,300.0,300.0,300.0,mm,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Unverified reference wafer diameter for samsung; do not infer it from Micron evidence.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
supplier,samsung,wafer.wafer_starts,20000.0,30000.0,40000.0,wafer,0.3,2026-07-19,0.10593498556365386,0.0741544898945577,Illustrative quarterly samsung HBM3E-compatible wafer starts before platform qualification and customer allocation.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.
