metric,unit,p10,p50,p90,mean,minimum,maximum
accelerator_package_demand,package,344118.1802018789,399559.3924268983,455547.9115025729,399569.47843110596,301763.707848397,498281.4625564412
customer_allocated_stacks,stack,1976823.4112589662,2275125.766786052,2608050.853684859,2284389.72616004,1504302.0329598992,3283887.8072549477
customer_reserved_stack_utilization,ratio,1.0,1.0,1.0,0.9994063040495789,0.8060645093336383,1.0
demanded_stacks,stack,2752945.441615031,3196475.1394151864,3644383.292020583,3196555.8274488477,2414109.662787176,3986251.7004515296
excess_customer_reserved_stacks,stack,0.0,0.0,0.0,1686.0827384761158,0.0,626251.9052803931
good_stacks,stack,5940429.862738363,6601821.782610085,7295490.474084134,6612448.08189161,4884677.323469184,8512671.171176657
hbm_package_equivalents,package,247102.92640737077,284390.7208482565,326006.35671060736,285548.715770005,188037.7541199874,410485.97590686847
largest_supplier_share,ratio,0.45463890101133714,0.5056717068135427,0.571769819838368,0.5097597196242163,0.37511203271805793,0.6761198485845404
packages_supported,package,247102.92640737077,284390.7208482565,325068.7653637324,285337.95542769553,188037.7541199874,410485.97590686847
platform_qualified_stacks,stack,4522001.653438328,5090877.842977456,5701324.607642514,5102299.1074351845,3626608.3664379967,6799621.832222195
supplier_concentration_hhi,ratio,0.3912178756179762,0.42122722665541634,0.4527484906681322,0.4218937446730531,0.3400581905100142,0.533669953604376
unfilled_package_demand,package,47133.17971201449,114882.32066697933,180749.69568347663,114231.52300341043,0.0,280490.3148562383
