metric,label,unit,p10,p50,p90,mean,minimum,maximum
assembly_start_utilization,Assembly start utilization,ratio,0.709949072082802,0.9117635636675206,1.0,0.8843912173309698,0.4795318373979987,1.0
complete_system_equivalents,Complete system equivalents,system,4284.897687030742,5190.675260240835,6089.9799591637775,5192.224657615208,2784.482937201666,7403.005896949095
finished_accelerator_packages,Finished accelerator packages,package,308512.6334662134,373728.6187373401,438478.557059792,373840.175348295,200482.77147851995,533016.4245803348
hbm_gb_per_accelerator,HBM per accelerator,GB/accelerator,192.0,192.0,192.0,192.0,192.0,192.0
hbm_good_stacks,Good HBM stacks,stack,5626889.45606913,6643044.839594371,7710042.552258265,6660296.026965592,4320896.522766945,9351665.474251522
hbm_gross_dies,Gross HBM memory dies,die,56442274.6429031,65981822.35596353,75780793.79677136,66084647.06083094,46190931.43528114,90109337.57467657
hbm_gross_dies_per_wafer,Gross HBM dies per wafer,die/wafer,520.6318621617474,550.1962754030121,582.0227091234982,550.8272503780263,497.40753311033524,612.3167264327052
hbm_known_good_dies,Known-good HBM dies,die,49981676.50671053,58705683.12106085,67779862.29725835,58811675.85746329,40154934.18873659,82234100.98775303
hbm_memory_dies_per_accelerator,HBM dies per accelerator,die/accelerator,64.0,64.0,64.0,64.0,64.0,64.0
hbm_package_equivalents,HBM package equivalents,package,703361.1820086413,830380.6049492963,963755.3190322832,832537.003370699,540112.0653458681,1168958.1842814402
hbm_raw_stacks,Raw HBM stacks,stack,6247709.563338816,7338210.390132606,8472482.787157293,7351459.482182912,5019366.7735920735,10279262.62346913
hbm_stack_utilization,Good HBM stack utilization,ratio,0.3764150790569239,0.4774959541272483,0.5951703399362198,0.48252278450328956,0.2376079862624008,0.867597769482047
logic_binned_dies,Binned logic dies,die,654833.3962618249,819285.631644239,1008998.5617377213,826097.4304752725,433975.71368431236,1316898.4681557852
logic_binned_yield,Logic binned yield,ratio,0.3406248435725969,0.39670500238086426,0.45531977677253427,0.3975130835507906,0.26963722748448016,0.5474531203116693
logic_defect_yield,Logic defect yield,ratio,0.46501709066065294,0.5408464756540629,0.6181705981122921,0.5412973001572087,0.4086461015971744,0.6926084328575113
logic_die_utilization,Binned logic die utilization,ratio,0.8619182088780443,1.0,1.0,0.966227675185837,0.592876118318396,1.0
logic_effective_known_good_yield,Logic known-good yield,ratio,0.4520299661526768,0.5170930923073365,0.5785348100628509,0.5161233175698703,0.40184884171266116,0.6374498980201702
logic_gross_dies,Gross logic dies,die,1747223.0754538618,2076589.8625768432,2410704.3841914563,2077375.3891882743,1441829.521626139,2772862.888087112
logic_gross_dies_per_wafer,Gross logic dies per wafer,die/wafer,57.806679127585944,59.32332454593236,61.140012324537224,59.40598993762146,56.460289264934545,62.92427199613198
logic_known_good_dies,Known-good logic dies,die,864477.1343270431,1064995.8556274218,1290164.697404015,1072551.0493614553,632437.0131640879,1643937.5904149453
logic_package_equivalents,Logic package equivalents,package,327416.69813091244,409642.8158221195,504499.28086886066,413048.71523763624,216987.85684215618,658449.2340778926
package_assembly_start_capacity,Assembly starts,package,395013.4171410437,450061.449714629,505614.19038521766,450185.15554046753,351779.4645759355,549768.1004848155
package_assembly_yield,Package assembly yield,ratio,0.9201306121253856,0.9447488238131867,0.9646243045224234,0.9434075962617265,0.9007958007510689,0.97991966765149
package_attempts,Attempted packages,package,327416.69813091244,397904.4071744968,459541.0752707888,396037.1804013181,216987.85684215618,544880.3724666975
surplus_binned_logic_dies,Surplus binned logic dies,die,0.0,0.0,135585.48074677202,34023.06967263621,0.0,515089.07636350405
surplus_good_hbm_stacks,Surplus good HBM stacks,stack,2351582.919873784,3473247.2219740516,4653112.0796485245,3491998.5837550475,630801.3810807057,6816016.055617202
