metric,unit,p10,p50,p90,mean,minimum,maximum
assembly_start_utilization,ratio,0.5284784865451388,0.6310819177816459,0.7577254219871938,0.6378786891056755,0.3898901850342234,0.9995660591489796
complete_system_equivalents,system,3229.960716011132,3717.54225958764,4251.151748623053,3729.104759068402,2459.956607338954,5249.768268749301
finished_accelerator_packages,package,232557.1715528015,267663.04269031005,306082.9259008599,268495.54265292495,177116.8757284047,377983.31534994964
hbm_gb_per_accelerator,GB/accelerator,192.0,192.0,192.0,192.0,192.0,192.0
hbm_good_stacks,stack,1976823.4112589662,2275125.766786052,2608050.853684859,2284389.72616004,1504302.0329598992,3283887.8072549477
hbm_memory_dies_per_accelerator,die/accelerator,64.0,64.0,64.0,64.0,64.0,64.0
hbm_package_equivalents,package,247102.92640737077,284390.7208482565,326006.35671060736,285548.715770005,188037.7541199874,410485.97590686847
hbm_stack_utilization,ratio,1.0,1.0,1.0,0.9971968953347615,0.63501429277873,1.0
logic_binned_dies,die,650068.2039753378,807914.3322005384,989827.0169872104,815391.5263868966,412368.0042819701,1416000.5222676261
logic_binned_yield,ratio,0.33943859329435466,0.3941997376221774,0.45332533929548774,0.39530898731783914,0.26960918243904425,0.5423617250594308
logic_defect_yield,ratio,0.4619162007617589,0.538303962947736,0.6149945114260331,0.5384551911906524,0.40319487209246024,0.6843807164407266
logic_die_utilization,ratio,0.5498092631091647,0.7018900943067049,0.9089266880474365,0.7159105373141611,0.34166515570551687,1.0
logic_effective_known_good_yield,ratio,0.4492992356171075,0.514566352011297,0.5758609483807671,0.513526921746113,0.39690632569847123,0.6306504911951529
logic_gross_dies,die,1737858.0899221615,2064518.4787405543,2383942.2856692886,2062519.2456277355,1434288.4950419709,2703813.4648809372
logic_gross_dies_per_wafer,die/wafer,57.59592628162248,58.92512793544897,60.32247414863495,58.94341661908761,56.25740805484725,61.7699898309543
logic_known_good_dies,die,858206.5274653573,1052410.7807517303,1270332.3747967076,1059286.0937678535,606161.944439705,1671436.2636054454
logic_package_equivalents,package,325034.1019876689,403957.1661002692,494913.5084936052,407695.7631934483,206184.00214098505,708000.2611338131
package_assembly_start_capacity,package,394806.86721456633,449637.14618011983,504898.3049837461,449924.43073426106,350330.5775992729,547543.3603999008
package_assembly_yield,ratio,0.9200382401901153,0.9445590863885662,0.9643763145448744,0.9433134315007871,0.9001478387967626,0.9791489950793485
package_attempts,package,246790.82683500837,283589.3175202634,323981.5882806017,284630.57463355816,188037.7541199874,403753.9134023134
surplus_binned_logic_dies,die,60432.95643286011,239659.69649155618,433505.10331570345,246130.37711978026,0.0,857113.554514783
surplus_good_hbm_stacks,stack,0.0,0.0,0.0,7345.129091574899,0.0,1052167.8654210921
