metric,unit,p10,p50,p90,mean,minimum,maximum
assembly_start_utilization,ratio,0.527259001534575,0.6307793580285778,0.7586184113566615,0.6376699122041011,0.3817352030794663,1.0
complete_system_equivalents,system,3227.0710139075877,3718.269397320799,4253.052632242979,3730.6274640327,2446.2348260325944,5247.319262436234
finished_accelerator_packages,package,232349.1130013463,267715.39660709753,306219.7895214945,268605.1774103544,176128.9074743468,377806.98689540883
hbm_gb_per_accelerator,GB/accelerator,192.0,192.0,192.0,192.0,192.0,192.0
hbm_good_stacks,stack,1976823.4112589662,2275125.766786052,2608050.853684859,2284389.72616004,1504302.0329598992,3283887.8072549477
hbm_memory_dies_per_accelerator,die/accelerator,64.0,64.0,64.0,64.0,64.0,64.0
hbm_package_equivalents,package,247102.92640737077,284390.7208482565,326006.35671060736,285548.715770005,188037.7541199874,410485.97590686847
hbm_stack_utilization,ratio,1.0,1.0,1.0,0.9974408353865428,0.6559261619095319,1.0
logic_binned_dies,die,651475.1711575985,810797.2611583958,996330.7379178944,817850.6628007733,437415.2124363356,1342826.6794717999
logic_binned_yield,ratio,0.3396226322409129,0.3947325829737022,0.45282993045754943,0.3956449318987626,0.27393333204656606,0.5377046126428686
logic_defect_yield,ratio,0.4630109074948142,0.5388244875598815,0.6153849555861948,0.5390637143904635,0.4039740345270846,0.6861649876085966
logic_die_utilization,ratio,0.5471265969582382,0.701975054373021,0.9066731747049428,0.714172602048119,0.33465971052816545,1.0
logic_effective_known_good_yield,ratio,0.45017556232926603,0.5152159494814823,0.576225560620766,0.5140406713216394,0.39765530101624774,0.6317607692473989
logic_gross_dies,die,1734228.232400732,2068438.658282469,2395496.582521056,2066991.9816252983,1441144.6745012475,2721624.503832491
logic_gross_dies_per_wafer,die/wafer,57.59462538796924,58.92992570144742,60.32582947433447,58.94321630832101,56.30462631798369,61.72926947829025
logic_known_good_dies,die,859622.7853089124,1056048.1743224175,1273876.298134957,1062613.8853740476,635559.2544837219,1637555.762791885
logic_package_equivalents,package,325737.58557879925,405398.6305791979,498165.3689589472,408925.33140038664,218707.6062181678,671413.3397358999
package_assembly_start_capacity,package,394802.141555495,449716.45082202216,506398.7941777478,450285.83919477847,351262.82616003905,548170.2436062434
package_assembly_yield,ratio,0.920036126811131,0.9445945525026114,0.9648960992489183,0.9434377817691626,0.9005647530275225,0.9793661537921079
package_attempts,package,246832.66168777505,283754.6379915993,324095.4984253315,284712.6114523917,188037.7541199874,397735.66546016315
surplus_binned_logic_dies,die,62166.91254707795,242087.5671993881,441002.0641031191,248425.4398959898,0.0,813459.4164992977
surplus_good_hbm_stacks,stack,0.0,0.0,0.0,6688.8345409063795,0.0,968578.2667721291
