metric,unit,p10,p50,p90,mean,minimum,maximum
assembly_start_utilization,ratio,0.5274303895409458,0.630965252278505,0.7591420696360549,0.6379122997118739,0.3817352030794663,1.0
complete_system_equivalents,system,3227.386824594798,3719.1216147203795,4255.11712593483,3732.03296676304,2446.2348260325944,5254.718704005087
finished_accelerator_packages,package,232371.8513708255,267776.75625986734,306368.43306730775,268706.3736069388,176128.9074743468,378339.7466883662
hbm_gb_per_accelerator,GB/accelerator,192.0,192.0,192.0,192.0,192.0,192.0
hbm_good_stacks,stack,1976823.4112589662,2275125.766786052,2608050.853684859,2284389.72616004,1504302.0329598992,3283887.8072549477
hbm_memory_dies_per_accelerator,die/accelerator,64.0,64.0,64.0,64.0,64.0,64.0
hbm_package_equivalents,package,247102.92640737077,284390.7208482565,326006.35671060736,285548.715770005,188037.7541199874,410485.97590686847
hbm_stack_utilization,ratio,1.0,1.0,1.0,0.9977744144183238,0.6624292417403864,1.0
logic_binned_dies,die,658119.4676537522,819947.9368956278,1007992.7818219691,827164.7262404611,439969.0955618376,1366137.8254402552
logic_binned_yield,ratio,0.3409883160823065,0.396164520390654,0.45418410930513614,0.3970532499646564,0.27558967806047746,0.5405155926378542
logic_defect_yield,ratio,0.4650948270049802,0.5408972761010775,0.6172243829744277,0.5409784190387282,0.40499849518410364,0.6886893506725305
logic_die_utilization,ratio,0.5405183048896499,0.6937784101909914,0.8963483074958495,0.7066133966083924,0.3270821180338312,1.0
logic_effective_known_good_yield,ratio,0.45219833666994563,0.5170093186839431,0.5778526674142077,0.5158707784514822,0.39866373763872304,0.6340849821989935
logic_gross_dies,die,1746222.6786333572,2083895.806308364,2415286.415985015,2082986.3086134875,1446356.1273114483,2769643.8994839666
logic_gross_dies_per_wafer,die/wafer,57.80369967238011,59.32072222308213,61.13098894120691,59.39902130238333,56.54868802283169,62.886057149674684
logic_known_good_dies,die,869122.0268364942,1067552.8625443964,1289355.0344846835,1074717.4526000519,639829.5172952125,1665892.4673432128
logic_package_equivalents,package,329059.7338268761,409973.9684478139,503996.39091098454,413582.36312023056,219984.5477809188,683068.9127201276
package_assembly_start_capacity,package,394802.141555495,449716.45082202216,506398.7941777478,450285.83919477847,351262.82616003905,548170.2436062434
package_assembly_yield,ratio,0.920036126811131,0.9445945525026114,0.9648960992489183,0.9434377817691626,0.9005647530275225,0.9793661537921079
package_attempts,package,246895.64917763532,283884.4377485005,324170.0567548865,284820.0242284213,188037.7541199874,403265.54042948555
surplus_binned_logic_dies,die,68887.35364001227,250636.90990466336,451950.78790542384,257524.67778361854,0.0,841784.1943799347
surplus_good_hbm_stacks,stack,0.0,0.0,0.0,5829.532332670253,0.0,950271.9002485757
