owner_type,owner_id,parameter,branch,low,base,high,unit,confidence,last_updated,influence_probability,influence_method,research_priority,methodology,evidence_ids,confirming_evidence,falsifying_evidence,conditional_on_current_scenario
package,advanced-package-assembly,assembly_yield,package_assembly_starts,0.9,0.95,0.98,ratio,0.35,2026-07-17,1.0,Applied to every attempted package,0.65,Illustrative final advanced-package assembly and test yield.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
hbm_supplier,sk-hynix,customer_allocation_share,hbm_good_stacks,0.35,0.45,0.55,ratio,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Illustrative share of SK hynix Blackwell-qualified stacks allocated to NVIDIA Blackwell in 2026-Q3.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,sk-hynix,known_good_die_yield,hbm_good_stacks,0.82,0.9,0.95,ratio,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Illustrative SK hynix known-good HBM memory-die yield after repair and test.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,sk-hynix,platform_qualified_share,hbm_good_stacks,0.75,0.85,0.92,ratio,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Illustrative share of SK hynix good 24GB 8-high-compatible stacks qualified for Blackwell.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,sk-hynix,stack_assembly_yield,hbm_good_stacks,0.88,0.94,0.98,ratio,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Illustrative SK hynix HBM3E stack-assembly yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,sk-hynix,stack_final_test_yield,hbm_good_stacks,0.94,0.975,0.995,ratio,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Illustrative SK hynix HBM3E final stack-test yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,sk-hynix,wafer.die_height_mm,hbm_good_stacks,10.5,11.0,11.5,mm,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Illustrative sk-hynix HBM3E memory-die height.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,sk-hynix,wafer.die_width_mm,hbm_good_stacks,9.5,10.0,10.5,mm,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Illustrative sk-hynix HBM3E memory-die width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,sk-hynix,wafer.edge_exclusion_mm,hbm_good_stacks,2.0,2.5,3.0,mm,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Illustrative sk-hynix HBM wafer edge exclusion.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,sk-hynix,wafer.scribe_width_mm,hbm_good_stacks,0.05,0.08,0.11,mm,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Illustrative sk-hynix HBM scribe width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
