draw_index,memory_dies_per_stack,stacks_per_accelerator,accelerator_package_demand,demanded_stacks,good_stacks,platform_qualified_stacks,customer_allocated_stacks,hbm_package_equivalents,packages_supported,supplier.sk-hynix.customer_allocated_stacks,supplier.micron.customer_allocated_stacks,supplier.samsung.customer_allocated_stacks
0,8.0,8.0,468869.414352913,3750955.314823304,5858312.4891880555,4454276.742094021,1956836.5954460788,244604.57443075985,244604.57443075985,775809.352055458,948799.3999688451,232227.84342177582
1,8.0,8.0,375899.97325452504,3007199.7860362004,6320413.983623501,4664211.923892003,2205957.7769707777,275744.7221213472,275744.7221213472,1016608.8755158087,937530.2520422915,251818.6494126776
2,8.0,8.0,394783.63944828376,3158269.11558627,5186344.634690121,3836217.0519515336,1789897.208750017,223737.15109375212,223737.15109375212,759669.4549782665,799399.6784487676,230828.07532298274
3,8.0,8.0,311437.1509962868,2491497.207970294,5809453.8936493285,4534304.381612746,1971579.163403218,246447.39542540224,246447.39542540224,863017.6210500937,895200.5408804377,213361.00147268653
4,8.0,8.0,306317.59306324995,2450540.7445059996,7557229.251883347,5881048.013589432,2712434.754401169,339054.3443001461,306317.59306324995,1370056.363147176,1068023.5352035922,274354.8560504003
5,8.0,8.0,436850.25480762543,3494802.0384610035,6025647.440963566,4804338.31600622,2191937.8877418516,273992.23596773145,273992.23596773145,1048846.2237160993,1028540.9685448814,114550.69548087093
6,8.0,8.0,406883.26581736363,3255066.126538909,7014158.392323934,5627643.044936389,2612684.9321162,326585.616514525,326585.616514525,1256297.607530456,1009776.4498959493,346610.87468979496
7,8.0,8.0,343852.08489218936,2750816.679137515,6084922.874860885,4799758.43808819,2099628.167086388,262453.5208857985,262453.5208857985,1060818.1997160316,763186.5851624209,275623.3822079356
8,8.0,8.0,456691.12101698096,3653528.9681358477,7085990.6397026265,5358029.739866592,2478123.06202255,309765.38275281875,309765.38275281875,1131279.6903504934,983512.1739982347,363331.1976738222
9,8.0,8.0,452296.6922015374,3618373.537612299,6523868.123577393,4898731.00657589,1887800.5790582113,235975.0723822764,235975.0723822764,656326.2483193864,998169.6209237864,233304.70981503837
10,8.0,8.0,406783.3275526987,3254266.62042159,6267187.709530866,4902554.349593202,2380417.290881434,297552.16136017925,297552.16136017925,1450883.147497896,641666.2043915518,287867.938991986
11,8.0,8.0,369105.0147927865,2952840.118342292,6680901.0643829815,5447021.871311698,2382449.0600794563,297806.13250993204,297806.13250993204,1279346.9551376884,930098.4439605904,173003.66098117735
12,8.0,8.0,441556.812958941,3532454.503671528,6648007.147787239,5409943.733784931,2371093.4249201985,296386.6781150248,296386.6781150248,1455168.6617106798,585454.7906616832,330469.97254783567
13,8.0,8.0,410481.5715772124,3283852.5726176994,6798224.381757693,5423688.2714642715,2339921.9159682193,292490.2394960274,292490.2394960274,1138867.124974704,848061.5478423623,352993.2431511527
14,8.0,8.0,307282.85478305863,2458262.838264469,5393900.803598838,4296233.432044678,1843642.383836302,230455.29797953775,230455.29797953775,897831.1634919947,767090.2839250744,178720.93641923298
15,8.0,8.0,451796.97729098547,3614375.8183278837,6768485.6974404035,5395925.2107836,2451540.189834317,306442.52372928965,306442.52372928965,1200839.0776022787,986466.2349995737,264234.87723246496
16,8.0,8.0,372134.9227655888,2977079.3821247104,8052314.271178789,5890235.273970323,2445162.6754333763,305645.33442917204,305645.33442917204,1199141.1111031815,1019313.6448481615,226707.91948203315
17,8.0,8.0,349048.62668325636,2792389.013466051,6729559.140168359,5236622.627189475,2420965.2865716377,302620.6608214547,302620.6608214547,1295064.5069097274,782347.4312274144,343553.3484344962
18,8.0,8.0,490201.8658204697,3921614.9265637575,6288981.010362169,4802567.623658727,2113941.2845409075,264242.66056761343,264242.66056761343,1227212.9802677073,729686.0107559848,157042.2935172153
19,8.0,8.0,431400.3263739933,3451202.6109919464,7465095.994975272,5668343.820108607,2487759.992385636,310969.9990482045,310969.9990482045,1201658.6633848436,1100329.4755670093,185771.8534337834
20,8.0,8.0,406515.9488308462,3252127.5906467694,6516939.591284455,5252402.268595812,2363331.30091694,295416.4126146175,295416.4126146175,1169660.1505345502,953814.0665710358,239857.08381135392
21,8.0,8.0,446551.4606859439,3572411.685487551,7538505.065464884,6064038.377330676,2603273.7687861794,325409.2210982724,325409.2210982724,1477375.7385715821,819024.5922331563,306873.43798144103
22,8.0,8.0,371632.96226296265,2973063.698103701,6258392.316439924,4794097.748235407,2161538.1507172594,270192.2688396574,270192.2688396574,1044182.842658415,892060.1269372843,225295.18112156005
23,8.0,8.0,400345.1297025208,3202761.0376201663,7447004.863834742,5576447.132371738,2499082.321272454,312385.2901590568,312385.2901590568,1244330.096716833,894893.7565156841,359858.46803993714
24,8.0,8.0,357220.59196341375,2857764.73570731,6945277.249333208,5432646.758110268,2530411.466066226,316301.43325827824,316301.43325827824,1366835.451044903,988197.8343247155,175378.18069660728
25,8.0,8.0,413888.9919873157,3311111.9358985256,6278197.123190686,4621788.1201629415,2071626.8962779245,258953.36203474057,258953.36203474057,945025.8109348628,944360.8174249252,182240.26791813647
26,8.0,8.0,388023.8927404841,3104191.1419238728,6970200.099082955,5385725.332644921,2377624.7170078363,297203.08962597954,297203.08962597954,1323058.3309256807,811059.487139629,243506.8989425265
27,8.0,8.0,434556.8957797249,3476455.166237799,7059823.891970138,5521821.538692615,2505549.1978298198,313193.64972872747,313193.64972872747,1254313.0773779845,964867.3868647412,286368.7335870941
28,8.0,8.0,418865.9032051094,3350927.2256408753,6353474.857460778,4768900.291146314,2205640.2734123827,275705.03417654784,275705.03417654784,981469.1011343234,931745.5680058568,292425.6042722025
29,8.0,8.0,381574.15214084915,3052593.217126793,6957588.334994191,5207532.374790974,2472248.5910342047,309031.0738792756,309031.0738792756,1040197.409511035,1140775.0458100997,291276.1357130703
30,8.0,8.0,411608.3380632554,3292866.7045060433,6530791.753687641,4789537.506080326,2008460.116036236,251057.5145045295,251057.5145045295,858213.7075859174,955765.8772494451,194480.5312008735
31,8.0,8.0,383721.42796627386,3069771.423730191,6611705.140570376,5106501.949868186,2474329.452523864,309291.181565483,309291.181565483,1401658.0794234376,958437.5651524406,114233.80794798574
32,8.0,8.0,378792.3604382728,3030338.8835061826,6752930.024378439,5206465.64770605,2505531.4335876317,313191.42919845396,313191.42919845396,1124160.761045907,1146037.378948528,235333.29359319675
33,8.0,8.0,390011.59142189205,3120092.7313751364,6810741.036880485,5047436.258835558,2092306.0925442649,261538.2615680331,261538.2615680331,1054318.996120226,837369.6407544975,200617.45566954132
34,8.0,8.0,461787.56503322674,3694300.520265814,7706638.589282228,5667600.733530941,2370165.3283293927,296270.6660411741,296270.6660411741,1425973.0321822087,724295.3149317473,219896.98121543668
35,8.0,8.0,368579.9726169164,2948639.7809353312,6749167.053383467,5405872.510708186,2193194.145616694,274149.26820208674,274149.26820208674,1322785.4990997482,613524.1437551711,256884.50276177467
36,8.0,8.0,424770.0053101479,3398160.042481183,6833647.29370297,5175824.428642536,2447146.8359987703,305893.3544998463,305893.3544998463,1152774.7630379011,1142916.7070820895,151455.36587877947
37,8.0,8.0,375224.5160931839,3001796.128745471,6948967.346508374,5337706.146027027,2519015.0461456263,314876.8807682033,314876.8807682033,1347640.6673112717,849159.5664980123,322214.81233634223
38,8.0,8.0,427569.4666626469,3420555.7333011753,6541189.504228497,4913324.636739554,2187784.1096890513,273473.0137111314,273473.0137111314,1016437.7877999139,916400.462006369,254945.85988276813
39,8.0,8.0,382233.36430456105,3057866.9144364884,6888234.213714808,5526960.641192984,2553738.9174774173,319217.36468467716,319217.36468467716,1286031.068121853,954879.1213914747,312828.7279640896
40,8.0,8.0,467247.7829024341,3737982.263219473,6535628.080416864,4924267.718879999,2299929.343224409,287491.16790305113,287491.16790305113,1121490.15646857,961520.0040412095,216919.18271462934
41,8.0,8.0,455156.0606804244,3641248.485443395,6521518.527758418,4692753.677169002,2338973.1020311364,292371.63775389205,292371.63775389205,1169271.0262026705,990007.1312987957,179694.94452967032
42,8.0,8.0,460160.44616815215,3681283.569345217,6705526.4048791565,4909026.795099398,2126260.2413981427,265782.53017476783,265782.53017476783,1305721.9883541788,623768.6033996699,196769.649644294
43,8.0,8.0,389219.19488293974,3113753.559063518,7831490.786764441,5586685.093131473,2589714.2826563204,323714.28533204005,323714.28533204005,1441986.879695449,948482.6804463624,199244.7225145091
44,8.0,8.0,419556.574222381,3356452.593779048,6843143.801168681,5217219.177211294,2319165.9047079324,289895.73808849155,289895.73808849155,1193891.3698964263,793546.2551640227,331728.27964748355
45,8.0,8.0,421814.18604500266,3374513.4883600213,7008775.527173454,5246489.725067555,2320839.160180729,290104.8950225911,290104.8950225911,1306102.2880124217,783838.8966273131,230897.9755409941
46,8.0,8.0,415325.98773897573,3322607.901911806,7176003.590469056,5506334.5519401925,2438074.873994039,304759.35924925486,304759.35924925486,1346147.2129945927,882890.0430422439,209037.61795720208
47,8.0,8.0,402896.20043224003,3223169.6034579203,6870135.459680345,5083625.314716286,2424208.044592498,303026.00557406223,303026.00557406223,1354566.1959384638,687098.288179532,382543.5604745023
48,8.0,8.0,353308.0500954765,2826464.400763812,5753390.240899345,4559617.095513442,2100079.367161734,262509.92089521675,262509.92089521675,924475.8533214254,1007942.7743043817,167660.73953592696
49,8.0,8.0,385320.61376109155,3082564.9100887324,6514699.554669913,4914615.293234349,2216107.2227457208,277013.4028432151,277013.4028432151,1221512.242519163,789136.1015645337,205458.8786620241
50,8.0,8.0,476013.3281846811,3808106.6254774486,6204807.194056962,4668987.789004983,1979180.8417030696,247397.6052128837,247397.6052128837,1047534.8651748659,712413.5876493673,219232.3888788365
51,8.0,8.0,397533.19860765035,3180265.588861203,6884046.9195055235,5486287.320291111,2453447.426713818,306680.9283392273,306680.9283392273,1277215.9910009361,919832.4680367132,256398.9676761689
52,8.0,8.0,430938.4970042324,3447507.9760338594,6689302.052603121,5117043.024581439,2455544.3115473716,306943.03894342144,306943.03894342144,1396971.49416985,892585.9944734488,165986.822904073
53,8.0,8.0,400602.4803441688,3204819.8427533503,7202860.0405453695,5575646.950455688,2552930.3053683024,319116.2881710378,319116.2881710378,1176232.0533819608,1101607.5866113983,275090.66537494306
54,8.0,8.0,404423.29481601703,3235386.3585281363,5359279.84145995,4301508.363589372,2172564.2208426176,271570.5276053272,271570.5276053272,1163854.972716043,742116.0271536493,266593.22097292537
55,8.0,8.0,497434.9429728383,3979479.5437827064,6842318.443687052,5064236.900045004,2188502.6257261112,273562.8282157639,273562.8282157639,1206856.0673427435,810798.328149084,170848.23023428384
56,8.0,8.0,413600.803685282,3308806.429482256,6694266.531609365,5348125.314855149,2336762.6839846172,292095.33549807715,292095.33549807715,1259651.23438465,873777.3896513822,203334.05994858508
57,8.0,8.0,345852.1801619264,2766817.441295411,6076191.740965242,4939503.053820655,2016520.352435676,252065.0440544595,252065.0440544595,1088141.039077477,717493.6430996695,210885.67025852928
58,8.0,8.0,416676.4893183248,3333411.914546598,6238000.301696394,4661557.357799096,2080940.4905637684,260117.56132047105,260117.56132047105,1184567.7825830367,718170.9418874638,178201.76609326797
59,8.0,8.0,452230.5117290386,3617844.093832309,6709541.345241819,4917641.511829958,2133353.91712854,266669.2396410675,266669.2396410675,1192102.9101938677,736988.5825034474,204262.42443122494
60,8.0,8.0,413286.4246791723,3306291.3974333783,5926127.301051827,4381327.7477697,1991646.1597902381,248955.76997377977,248955.76997377977,870440.145461568,923463.6351556842,197742.37917298594
61,8.0,8.0,410710.69274595904,3285685.5419676723,6444834.801086323,4818867.066982842,2084687.5695173529,260585.9461896691,260585.9461896691,999687.2672672336,838418.9493291867,246581.35292093267
62,8.0,8.0,491384.8281771804,3931078.625417443,6228742.890900454,4756221.439295039,2120729.9586701924,265091.24483377405,265091.24483377405,870189.1619294195,879085.1674689247,371455.6292718484
63,8.0,8.0,425749.17199613963,3405993.375969117,5890499.9167454215,4442879.779009012,2002013.9040051317,250251.73800064146,250251.73800064146,901037.945148,815974.5267565461,285001.43210058566
64,8.0,8.0,416152.53906442126,3329220.31251537,6496129.778670148,5078141.158365683,2122383.7943341783,265297.9742917723,265297.9742917723,1081360.88502811,729642.4957339641,311380.4135721044
65,8.0,8.0,411725.90453936043,3293807.2363148835,5753189.092090674,4474567.916777251,2019025.9128942797,252378.23911178496,252378.23911178496,852915.9802739115,879702.0352140752,286407.897406293
66,8.0,8.0,467848.5342065506,3742788.273652405,7393553.821536635,5628022.531073752,2782180.796835406,347772.5996044258,347772.5996044258,1375620.7502836038,1155893.0129975004,250667.03355430218
67,8.0,8.0,382800.711685043,3062405.693480344,7107705.169006415,6015718.641593586,2680603.714972423,335075.46437155287,335075.46437155287,1477745.1981765465,780933.2292253874,421925.2875704888
68,8.0,8.0,399926.640855134,3199413.126841072,6913864.362630588,5379336.2958125835,2381707.2249071198,297713.40311338997,297713.40311338997,1198099.579650676,967345.1606289572,216262.48462748635
69,8.0,8.0,491227.8074866041,3929822.4598928327,6931184.117808042,4998514.33798751,2303781.0354221663,287972.6294277708,287972.6294277708,1103960.6610747096,992631.6937831177,207188.68056433924
70,8.0,8.0,333494.8658472644,2667958.9267781153,6344461.819951334,5095787.3235987,2217910.8825649284,277238.86032061605,277238.86032061605,1092593.219733695,846416.1055256262,278901.5573056072
71,8.0,8.0,405107.83143550425,3240862.651484034,7494186.687569928,5630012.281314447,2336705.5810721563,292088.19763401954,292088.19763401954,1066104.4243564343,862163.0810699373,408438.0756457847
72,8.0,8.0,454315.16348137567,3634521.3078510053,6603517.917498063,5094415.449577913,2388108.065050038,298513.50813125476,298513.50813125476,1286771.6580415082,817996.8912805622,283339.5157279677
73,8.0,8.0,420517.4884385597,3364139.9075084776,6665947.815180806,5307760.952306184,2610523.657122277,326315.45714028465,326315.45714028465,1208022.557769042,1104119.0511825674,298382.04817066796
74,8.0,8.0,429191.758506624,3433534.068052992,6781071.58378724,5038979.139087006,2370883.024764692,296360.3780955865,296360.3780955865,1344691.4400891168,617552.777056213,408638.807619362
75,8.0,8.0,415385.79060029855,3323086.3248023884,6297335.463103724,4790697.908846388,2099032.323590753,262379.04044884414,262379.04044884414,1029029.1256942807,847990.09563318,222013.10226329239
76,8.0,8.0,395436.938500797,3163495.508006376,7334974.336029483,5685497.264664422,2392642.847840953,299080.35598011914,299080.35598011914,1057164.0763776142,1011895.3844478929,323583.38701544615
77,8.0,8.0,464756.9100872414,3718055.280697931,6701900.564639859,4951450.8445467055,2321149.012952677,290143.6266190846,290143.6266190846,1236150.2272694807,718361.5270619525,366637.2586212438
78,8.0,8.0,422519.47017722065,3380155.761417765,5801708.143463068,4242186.001657512,1873662.9256276337,234207.8657034542,234207.8657034542,1015830.5000298199,661973.1478055624,195859.27779225147
79,8.0,8.0,358655.16331922106,2869241.3065537685,6351336.193110462,4863157.649772804,2327573.61633751,290946.7020421887,290946.7020421887,1229596.212039667,875698.0472236201,222279.35707422285
80,8.0,8.0,363888.651608112,2911109.212864896,6425994.39869977,5177050.40049951,2421780.886203864,302722.610775483,302722.610775483,1408045.5165105744,856238.620394893,157496.74929839655
