metric,unit,p10,p50,p90,mean,minimum,maximum
assembly_start_utilization,ratio,0.5533810926148561,0.63315799375313,0.7334750305553024,0.6385620981339147,0.46311423247661154,0.913391620307059
complete_system_equivalents,system,3445.936815090922,3736.9125095434374,4034.655677132526,3738.4888775772547,2783.157227913678,4356.602136372472
finished_accelerator_packages,package,248107.4506865464,269057.7006871275,290495.20875354187,269171.1991855624,200387.32040978482,313675.353818818
hbm_gb_per_accelerator,GB/accelerator,192.0,192.0,192.0,192.0,192.0,192.0
hbm_good_stacks,stack,2112895.3535279194,2284017.327566411,2461802.3245693785,2285684.549183706,1978091.9191623083,2606628.2076586676
hbm_memory_dies_per_accelerator,die/accelerator,64.0,64.0,64.0,64.0,64.0,64.0
hbm_package_equivalents,package,264111.9191909899,285502.16594580136,307725.2905711723,285710.5686479632,247261.48989528854,325828.52595733345
hbm_stack_utilization,ratio,1.0,1.0,1.0,0.998567471642674,0.7338859990418136,1.0
logic_binned_dies,die,649339.830004062,810492.102622166,992951.9706842846,816625.5406001897,426921.7278699551,1416995.0990981164
logic_binned_yield,ratio,0.3398250130317623,0.3946547991368542,0.4529801437095238,0.395801014705877,0.27638964497980795,0.5440584352002253
logic_defect_yield,ratio,0.4635851835982024,0.5387062250698162,0.6157352286686615,0.5388573094986657,0.40487779209177044,0.6857270929376342
logic_die_utilization,ratio,0.5674084789946806,0.7048252319514952,0.8883046085863023,0.71695470585593,0.397729541683632,1.0
logic_effective_known_good_yield,ratio,0.45065081116858785,0.514957894180783,0.576364813169696,0.5138760591721072,0.39842729512314057,0.6314260944897635
logic_gross_dies,die,1733367.637039112,2063412.1434323683,2391965.080118273,2062980.4685086124,1428962.22133315,2703442.598298572
logic_gross_dies_per_wafer,die/wafer,57.59711565107387,58.94728978242858,60.3294126262759,58.95663129566243,56.15491537831042,61.74206368097197
logic_known_good_dies,die,857072.4057259767,1051948.58803926,1272462.8192719829,1060245.4025275644,621516.2546300378,1640377.823114754
logic_package_equivalents,package,324669.915002031,405246.051311083,496475.9853421423,408312.77030009485,213460.86393497756,708497.5495490582
package_assembly_start_capacity,package,395328.526371234,450558.8511387904,504762.8510963624,450471.1244097189,350768.5623609395,549111.1636713421
package_assembly_yield,ratio,0.9202715332571942,0.9449698963768352,0.9643293919418681,0.9435270389343142,0.9003437115368017,0.9796920980638303
package_attempts,package,263698.00400900847,285107.8219721983,307077.3460114405,285281.5612506134,213460.86393497756,325828.52595733345
surplus_binned_logic_dies,die,72957.79532124213,239119.0343394155,425561.4649521224,246062.41809896287,0.0,853414.2877658699
surplus_good_hbm_stacks,stack,0.0,0.0,0.0,3432.059178798791,0.0,619223.4175214609
