component_id,component_name,stage,resource_kind,capacity_scope_id,metric,unit,p10,p50,p90,mean,minimum,maximum,bottleneck_probability
connectx7-nics,ConnectX-7 400G NICs,server_assembly,retimer,gb200-connectx7-pool-2026q3,capacity,NIC,33231.7372836342,37210.40612084515,41535.97314893686,37311.78092608823,30034.801307952333,44933.35155408058,0.0
connectx7-nics,ConnectX-7 400G NICs,server_assembly,retimer,gb200-connectx7-pool-2026q3,consumed_output,NIC,19487.584403266133,21518.0540114378,23636.016822556114,21551.481249274653,16296.619774129358,27673.610982534312,0.0
connectx7-nics,ConnectX-7 400G NICs,server_assembly,retimer,gb200-connectx7-pool-2026q3,customer_allocated_output,NIC,26908.45923533399,30690.044296538326,34715.78488817065,30765.207878824018,22524.38666081375,39743.18528945137,0.0
connectx7-nics,ConnectX-7 400G NICs,server_assembly,retimer,gb200-connectx7-pool-2026q3,customer_allocated_utilization,ratio,0.5992090060462609,0.7007777899136431,0.8229502257341719,0.7070607072192688,0.45834191098970595,0.974214808932559,0.0
connectx7-nics,ConnectX-7 400G NICs,server_assembly,retimer,gb200-connectx7-pool-2026q3,good_output,NIC,32179.76370303225,36414.18977336229,41027.34306088899,36523.418717496286,28836.10808048364,44702.42085226708,0.0
connectx7-nics,ConnectX-7 400G NICs,server_assembly,retimer,gb200-connectx7-pool-2026q3,platform_qualified_output,NIC,30500.467290592802,34603.84286059844,39033.080878492474,34696.62151732831,26203.584641476984,43758.33005689708,0.0
connectx7-nics,ConnectX-7 400G NICs,server_assembly,retimer,gb200-connectx7-pool-2026q3,rack_equivalents,rack,373.72860049074984,426.250615229699,482.16367900237015,427.29455387255575,312.8387036224132,551.9886845757135,0.0
connectx7-nics,ConnectX-7 400G NICs,server_assembly,retimer,gb200-connectx7-pool-2026q3,unused_customer_allocated_output,NIC,4883.134973156182,9159.030441691155,13629.794623953396,9213.726629549361,596.9161181431809,20515.824498810707,0.0
bluefield3-dpus,BlueField-3 DPUs,server_assembly,network_switch,gb200-bluefield3-pool-2026q3,capacity,DPU,17115.8686418171,19105.203060422577,21267.98657446843,19155.890463044114,15517.400653976167,22966.67577704029,0.0
bluefield3-dpus,BlueField-3 DPUs,server_assembly,network_switch,gb200-bluefield3-pool-2026q3,consumed_output,DPU,9743.792201633067,10759.0270057189,11818.008411278057,10775.740624637327,8148.309887064679,13836.805491267156,0.0
bluefield3-dpus,BlueField-3 DPUs,server_assembly,network_switch,gb200-bluefield3-pool-2026q3,customer_allocated_output,DPU,13877.277873328803,15801.593230916773,17825.079517850576,15832.853775207883,11631.406628338182,20359.45886730176,0.0
bluefield3-dpus,BlueField-3 DPUs,server_assembly,network_switch,gb200-bluefield3-pool-2026q3,customer_allocated_utilization,ratio,0.5831928694156122,0.6807554776582276,0.7983875215238533,0.6867523002882574,0.4470746626137349,0.9438057299973819,0.0
bluefield3-dpus,BlueField-3 DPUs,server_assembly,network_switch,gb200-bluefield3-pool-2026q3,good_output,DPU,16595.410478360933,18749.54062014896,21062.470007185217,18796.220071392727,14898.307469975993,22894.83140245767,0.0
bluefield3-dpus,BlueField-3 DPUs,server_assembly,network_switch,gb200-bluefield3-pool-2026q3,platform_qualified_output,DPU,15731.592583795118,17817.027809680578,20042.748795589076,17856.092590384924,13536.619831858581,22413.85805332652,0.0
bluefield3-dpus,BlueField-3 DPUs,server_assembly,network_switch,gb200-bluefield3-pool-2026q3,rack_equivalents,rack,385.4799409258001,438.9331453032437,495.14109771807153,439.8014937557746,323.0946285649495,565.5405240917156,0.0
bluefield3-dpus,BlueField-3 DPUs,server_assembly,network_switch,gb200-bluefield3-pool-2026q3,unused_customer_allocated_output,DPU,2865.9478110546465,5028.891773175809,7283.270467342664,5057.113150570556,671.3934617052146,10735.190404170122,0.0
nvlink-switch-trays,NVLink switch trays,rack_integration,network_switch,gb200-nvlink-switch-tray-pool-2026q3,capacity,switch_tray,3956.817695404572,4395.468680783217,4842.236845200457,4397.696074954109,3603.8424294460756,5193.116578104094,0.0044
nvlink-switch-trays,NVLink switch trays,rack_integration,network_switch,gb200-nvlink-switch-tray-pool-2026q3,consumed_output,switch_tray,2435.9480504082667,2689.756751429725,2954.502102819514,2693.9351561593317,2037.0774717661698,3459.201372816789,0.0044
nvlink-switch-trays,NVLink switch trays,rack_integration,network_switch,gb200-nvlink-switch-tray-pool-2026q3,customer_allocated_output,switch_tray,3240.510395995299,3691.839995786283,4143.254833602837,3692.460533930195,2730.8961028361714,4687.153681886216,0.0044
nvlink-switch-trays,NVLink switch trays,rack_integration,network_switch,gb200-nvlink-switch-tray-pool-2026q3,customer_allocated_utilization,ratio,0.6268904482120318,0.7292938746093462,0.8538060950870063,0.7359014710502972,0.4816403616358269,1.0000000000000002,0.0044
