draw_index,source_hbm_draw_index,logic_package_equivalents,customer_allocated_hbm_stacks,hbm_package_equivalents,package_assembly_start_capacity,package_attempts,package_assembly_yield,finished_accelerator_packages,complete_system_equivalents
0,128,479493.28299179854,2255143.1016318765,281892.88770398457,432038.76387714944,281892.88770398457,0.9366888505638721,264045.924965576,3667.3045134107774
1,9706,533245.3354095947,2399835.524250767,299979.4405313459,388724.50967698946,299979.4405313459,0.9173181272066193,275176.57858870365,3821.8969248431063
2,1799,422791.62544701865,2652208.514123117,331526.06426538964,368362.7133040695,331526.06426538964,0.9082120550398478,301095.96812574216,4181.888446190864
3,4354,370959.9606338232,2164334.3906311565,270541.79882889456,528395.2575950897,270541.79882889456,0.9725158976940516,263106.2003518459,3654.252782664526
4,14647,279082.36398584454,2633144.318945239,329143.03986815485,498341.70038394956,279082.36398584454,0.9621050400864769,268506.5489900297,3729.257624861524
5,2293,364579.2452776092,1824090.4693084368,228011.3086635546,522358.26960526605,228011.3086635546,0.9704246237094399,221267.78841132694,3073.163727935096
6,15989,383380.92311259295,1998025.498320288,249753.187290036,441595.03292560054,249753.187290036,0.9409625440045949,235008.39448568833,3264.0054789678934
7,14451,497709.22926915163,2656901.5849357937,332112.6981169742,429509.7208845306,332112.6981169742,0.935557828153969,310710.63455267117,4315.425479898211
8,8426,338173.91107617295,2061046.342512457,257630.79281405712,447947.3113550488,257630.79281405712,0.9438033692806452,243152.81028835094,3377.1223651159853
9,8744,380522.1834024623,2090208.839258127,261276.10490726586,390106.3326686402,261276.10490726586,0.91793609723506,239834.76803935372,3331.038444991024
10,15226,514693.20052742254,2627416.059526813,328427.00744085165,462222.8382727484,328427.00744085165,0.9495886476506628,311870.5578477125,4331.5355256626735
11,14865,363319.52507015003,2037073.490043493,254634.18625543662,509097.3908914132,254634.18625543662,0.9658309205723596,245933.57052028205,3415.7440350039174
12,13725,362626.70332423295,2244428.033762359,280553.5042202949,480607.53579478315,280553.5042202949,0.955961745266832,268198.41753515863,3724.9780213216477
13,5893,369805.78402987076,1854963.6060668791,231870.4507583599,407259.8844725073,231870.4507583599,0.9256073988128621,214621.00478801134,2980.8472887223797
14,11423,523706.00063535385,2412104.131494866,301513.0164368583,439428.29719215876,301513.0164368583,0.9399935503267441,283420.2907902084,3936.392927641783
15,15254,329287.21348787105,2195775.9177963026,274471.9897245378,453410.25822518696,274471.9897245378,0.9461961508870056,259704.34020365545,3607.00472505077
16,11671,310720.91212542617,2398564.9753876943,299820.6219234618,420582.77360869554,299820.6219234618,0.9315655759659043,279302.5703485853,3879.202365952574
17,6896,493998.12715398474,2619646.8240671987,327455.85300839983,444797.80249228113,327455.85300839983,0.9423948660980679,308592.71474887955,4286.009927067771
18,11989,352964.6059152162,2545185.0395350982,318148.1299418873,453286.88882534346,318148.1299418873,0.9461444994054947,301014.1031406612,4180.751432509183
19,16322,276195.6486780778,1954328.2784657916,244291.03480822395,370602.65654996,244291.03480822395,0.9092137881125584,222112.77715992215,3084.8996827766964
20,3591,422095.95314714336,2305839.678154065,288229.9597692581,432925.8767644614,288229.9597692581,0.9370855795078212,270096.1388818912,3751.335262248489
