stage,constraint_id,resource_name,probability
accelerator_package,silicon-interposers,Silicon interposer equivalents,0.9439
accelerator_package,abf-substrates,ABF substrate equivalents,0.0561
accelerator_package,linked-supplier-hbm-draw-manufacturing-output,Frozen draw-linked supplier-HBM Blackwell manufacturing system equivalents,0.0
server_assembly,silicon-interposers,Silicon interposer equivalents,0.58575
server_assembly,compute-tray-assembly,GB200 compute-tray assembly,0.323
server_assembly,connectx7-nics,ConnectX-7 400G NICs,0.07555
server_assembly,abf-substrates,ABF substrate equivalents,0.0157
server_assembly,bluefield3-dpus,BlueField-3 DPUs,0.0
server_assembly,linked-supplier-hbm-draw-manufacturing-output,Frozen draw-linked supplier-HBM Blackwell manufacturing system equivalents,0.0
rack_integration,silicon-interposers,Silicon interposer equivalents,0.50395
rack_integration,compute-tray-assembly,GB200 compute-tray assembly,0.2542
rack_integration,liquid-cooling-integration,Liquid-cooling rack integration,0.1161
rack_integration,nvlink-switch-trays,NVLink switch trays,0.1051
rack_integration,power-shelves,Rack power shelves,0.01055
rack_integration,abf-substrates,ABF substrate equivalents,0.0101
rack_integration,bluefield3-dpus,BlueField-3 DPUs,0.0
rack_integration,connectx7-nics,ConnectX-7 400G NICs,0.0
rack_integration,linked-supplier-hbm-draw-manufacturing-output,Frozen draw-linked supplier-HBM Blackwell manufacturing system equivalents,0.0
rack_integration,management-tor-switches,Management top-of-rack switches,0.0
shipped,linked-abilene-shipment-allocation,Synthetic Abilene-target shipment allocation,0.99925
shipped,silicon-interposers,Silicon interposer equivalents,0.00075
shipped,abf-substrates,ABF substrate equivalents,0.0
shipped,bluefield3-dpus,BlueField-3 DPUs,0.0
shipped,compute-tray-assembly,GB200 compute-tray assembly,0.0
shipped,connectx7-nics,ConnectX-7 400G NICs,0.0
shipped,factory-qualification,Factory qualification slots,0.0
shipped,linked-supplier-hbm-draw-manufacturing-output,Frozen draw-linked supplier-HBM Blackwell manufacturing system equivalents,0.0
shipped,liquid-cooling-integration,Liquid-cooling rack integration,0.0
shipped,management-tor-switches,Management top-of-rack switches,0.0
shipped,nvlink-switch-trays,NVLink switch trays,0.0
shipped,power-shelves,Rack power shelves,0.0
shipped,rack-logistics,Qualified rack logistics slots,0.0
installed,linked-abilene-shipment-allocation,Synthetic Abilene-target shipment allocation,0.99925
installed,silicon-interposers,Silicon interposer equivalents,0.00075
installed,abf-substrates,ABF substrate equivalents,0.0
installed,bluefield3-dpus,BlueField-3 DPUs,0.0
installed,compute-tray-assembly,GB200 compute-tray assembly,0.0
installed,connectx7-nics,ConnectX-7 400G NICs,0.0
installed,factory-qualification,Factory qualification slots,0.0
installed,linked-supplier-hbm-draw-manufacturing-output,Frozen draw-linked supplier-HBM Blackwell manufacturing system equivalents,0.0
installed,liquid-cooling-integration,Liquid-cooling rack integration,0.0
installed,management-tor-switches,Management top-of-rack switches,0.0
installed,nvlink-switch-trays,NVLink switch trays,0.0
installed,power-shelves,Rack power shelves,0.0
installed,rack-logistics,Qualified rack logistics slots,0.0
installed,site-installation,Customer-site installation slots,0.0
operational,linked-abilene-shipment-allocation,Synthetic Abilene-target shipment allocation,0.8733
operational,linked-abilene-operational-racks,Frozen Abilene operational rack capacity,0.1262
operational,silicon-interposers,Silicon interposer equivalents,0.0005
operational,abf-substrates,ABF substrate equivalents,0.0
operational,bluefield3-dpus,BlueField-3 DPUs,0.0
operational,compute-tray-assembly,GB200 compute-tray assembly,0.0
operational,connectx7-nics,ConnectX-7 400G NICs,0.0
operational,factory-qualification,Factory qualification slots,0.0
operational,linked-supplier-hbm-draw-manufacturing-output,Frozen draw-linked supplier-HBM Blackwell manufacturing system equivalents,0.0
operational,liquid-cooling-integration,Liquid-cooling rack integration,0.0
operational,management-tor-switches,Management top-of-rack switches,0.0
operational,nvlink-switch-trays,NVLink switch trays,0.0
operational,power-shelves,Rack power shelves,0.0
operational,rack-logistics,Qualified rack logistics slots,0.0
operational,site-installation,Customer-site installation slots,0.0
