draw_index,source_hbm_draw_index,logic_package_equivalents,customer_allocated_hbm_stacks,hbm_package_equivalents,package_assembly_start_capacity,package_attempts,package_assembly_yield,finished_accelerator_packages,complete_system_equivalents
0,128,476813.95484102925,2255143.1016318765,281892.88770398457,432038.76387714944,281892.88770398457,0.9366888505638721,264045.924965576,3667.3045134107774
1,9706,526331.300230716,2399835.524250767,299979.4405313459,388724.50967698946,299979.4405313459,0.9173181272066193,275176.57858870365,3821.8969248431063
2,1799,416946.67787106324,2652208.514123117,331526.06426538964,368362.7133040695,331526.06426538964,0.9082120550398478,301095.96812574216,4181.888446190864
3,4354,363906.1530775807,2164334.3906311565,270541.79882889456,528395.2575950897,270541.79882889456,0.9725158976940516,263106.2003518459,3654.252782664526
4,14647,273170.4001186894,2633144.318945239,329143.03986815485,498341.70038394956,273170.4001186894,0.9621050400864769,262818.6187566306,3650.258593842091
5,2293,362554.265517319,1824090.4693084368,228011.3086635546,522358.26960526605,228011.3086635546,0.9704246237094399,221267.78841132694,3073.163727935096
6,15989,381139.08649170183,1998025.498320288,249753.187290036,441595.03292560054,249753.187290036,0.9409625440045949,235008.39448568833,3264.0054789678934
7,14451,494493.522632444,2656901.5849357937,332112.6981169742,429509.7208845306,332112.6981169742,0.935557828153969,310710.63455267117,4315.425479898211
8,8426,334285.55540583195,2061046.342512457,257630.79281405712,447947.3113550488,257630.79281405712,0.9438033692806452,243152.81028835094,3377.1223651159853
9,8744,374295.3123199382,2090208.839258127,261276.10490726586,390106.3326686402,261276.10490726586,0.91793609723506,239834.76803935372,3331.038444991024
10,15226,512221.2604642291,2627416.059526813,328427.00744085165,462222.8382727484,328427.00744085165,0.9495886476506628,311870.5578477125,4331.5355256626735
11,14865,360102.79363374773,2037073.490043493,254634.18625543662,509097.3908914132,254634.18625543662,0.9658309205723596,245933.57052028205,3415.7440350039174
12,13725,360712.8251193475,2244428.033762359,280553.5042202949,480607.53579478315,280553.5042202949,0.955961745266832,268198.41753515863,3724.9780213216477
13,5893,365587.2238448221,1854963.6060668791,231870.4507583599,407259.8844725073,231870.4507583599,0.9256073988128621,214621.00478801134,2980.8472887223797
14,11423,520224.0806280233,2412104.131494866,301513.0164368583,439428.29719215876,301513.0164368583,0.9399935503267441,283420.2907902084,3936.392927641783
15,15254,326676.16692472924,2195775.9177963026,274471.9897245378,453410.25822518696,274471.9897245378,0.9461961508870056,259704.34020365545,3607.00472505077
16,11671,307181.2574966359,2398564.9753876943,299820.6219234618,420582.77360869554,299820.6219234618,0.9315655759659043,279302.5703485853,3879.202365952574
17,6896,487346.3602875135,2619646.8240671987,327455.85300839983,444797.80249228113,327455.85300839983,0.9423948660980679,308592.71474887955,4286.009927067771
18,11989,350802.2778438345,2545185.0395350982,318148.1299418873,453286.88882534346,318148.1299418873,0.9461444994054947,301014.1031406612,4180.751432509183
