stage,constraint_id,resource_name,probability
accelerator_package,silicon-interposers,Silicon interposer equivalents,0.94335
accelerator_package,abf-substrates,ABF substrate equivalents,0.05665
accelerator_package,linked-supplier-hbm-manufacturing-output,Frozen supplier-HBM Blackwell manufacturing system equivalents,0.0
server_assembly,silicon-interposers,Silicon interposer equivalents,0.5784
server_assembly,compute-tray-assembly,GB200 compute-tray assembly,0.32775
server_assembly,connectx7-nics,ConnectX-7 400G NICs,0.079
server_assembly,abf-substrates,ABF substrate equivalents,0.01485
server_assembly,bluefield3-dpus,BlueField-3 DPUs,0.0
server_assembly,linked-supplier-hbm-manufacturing-output,Frozen supplier-HBM Blackwell manufacturing system equivalents,0.0
rack_integration,silicon-interposers,Silicon interposer equivalents,0.4975
rack_integration,compute-tray-assembly,GB200 compute-tray assembly,0.25385
rack_integration,liquid-cooling-integration,Liquid-cooling rack integration,0.12065
rack_integration,nvlink-switch-trays,NVLink switch trays,0.10875
rack_integration,power-shelves,Rack power shelves,0.00975
rack_integration,abf-substrates,ABF substrate equivalents,0.0095
rack_integration,bluefield3-dpus,BlueField-3 DPUs,0.0
rack_integration,connectx7-nics,ConnectX-7 400G NICs,0.0
rack_integration,linked-supplier-hbm-manufacturing-output,Frozen supplier-HBM Blackwell manufacturing system equivalents,0.0
rack_integration,management-tor-switches,Management top-of-rack switches,0.0
shipped,linked-abilene-shipment-allocation,Synthetic Abilene-target shipment allocation,0.9997
shipped,silicon-interposers,Silicon interposer equivalents,0.0003
shipped,abf-substrates,ABF substrate equivalents,0.0
shipped,bluefield3-dpus,BlueField-3 DPUs,0.0
shipped,compute-tray-assembly,GB200 compute-tray assembly,0.0
shipped,connectx7-nics,ConnectX-7 400G NICs,0.0
shipped,factory-qualification,Factory qualification slots,0.0
shipped,linked-supplier-hbm-manufacturing-output,Frozen supplier-HBM Blackwell manufacturing system equivalents,0.0
shipped,liquid-cooling-integration,Liquid-cooling rack integration,0.0
shipped,management-tor-switches,Management top-of-rack switches,0.0
shipped,nvlink-switch-trays,NVLink switch trays,0.0
shipped,power-shelves,Rack power shelves,0.0
shipped,rack-logistics,Qualified rack logistics slots,0.0
installed,linked-abilene-shipment-allocation,Synthetic Abilene-target shipment allocation,0.9997
installed,silicon-interposers,Silicon interposer equivalents,0.0003
installed,abf-substrates,ABF substrate equivalents,0.0
installed,bluefield3-dpus,BlueField-3 DPUs,0.0
installed,compute-tray-assembly,GB200 compute-tray assembly,0.0
installed,connectx7-nics,ConnectX-7 400G NICs,0.0
installed,factory-qualification,Factory qualification slots,0.0
installed,linked-supplier-hbm-manufacturing-output,Frozen supplier-HBM Blackwell manufacturing system equivalents,0.0
installed,liquid-cooling-integration,Liquid-cooling rack integration,0.0
installed,management-tor-switches,Management top-of-rack switches,0.0
installed,nvlink-switch-trays,NVLink switch trays,0.0
installed,power-shelves,Rack power shelves,0.0
installed,rack-logistics,Qualified rack logistics slots,0.0
installed,site-installation,Customer-site installation slots,0.0
operational,linked-abilene-shipment-allocation,Synthetic Abilene-target shipment allocation,0.86855
operational,linked-abilene-operational-racks,Frozen Abilene operational rack capacity,0.13125
operational,silicon-interposers,Silicon interposer equivalents,0.0002
operational,abf-substrates,ABF substrate equivalents,0.0
operational,bluefield3-dpus,BlueField-3 DPUs,0.0
operational,compute-tray-assembly,GB200 compute-tray assembly,0.0
operational,connectx7-nics,ConnectX-7 400G NICs,0.0
operational,factory-qualification,Factory qualification slots,0.0
operational,linked-supplier-hbm-manufacturing-output,Frozen supplier-HBM Blackwell manufacturing system equivalents,0.0
operational,liquid-cooling-integration,Liquid-cooling rack integration,0.0
operational,management-tor-switches,Management top-of-rack switches,0.0
operational,nvlink-switch-trays,NVLink switch trays,0.0
operational,power-shelves,Rack power shelves,0.0
operational,rack-logistics,Qualified rack logistics slots,0.0
operational,site-installation,Customer-site installation slots,0.0
